Model,Accuracy,Precision,Recall,F1_Score
XGBoost,0.8554545454545455,0.7804612054612055,0.8032142857142859,0.7871423764888155
LightGBM,0.8394141414141414,0.7597841886484195,0.7625,0.7563402888888809
CatBoost,0.8373737373737373,0.7708878889142048,0.8117857142857143,0.7821856707317267
Ensemble,0.8514949494949494,0.7743385357534399,0.7878571428571427,0.7736664261841915
